web-scraper-order,web-scraper-start-url,authors,title,conference,citations,year
"1665548689-7690","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen","African islands and enclaves: an introduction","ISLAND SOCIETIES, 149, 0","",""
"1665548689-7691","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen, S Vertovec","Italian Travel Writing","","",""
"1665548689-7692","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","RA COHEN","In addition to all his scientific work, he had a large dental practice and was an excellent craftsman, contributing numerous papers on dental techniques to the dental journals …","","",""
"1665548689-7693","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","J DIETZ, MT MANSFIELD, R COHEN","AMANDA SHULL","","",""
"1665548689-7694","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen","Dumont has been working on geopolitics for quite sometimes and published many of his important research works. His recent work on focussed on diaspora and geopolitics. In an …","","",""
"1665548689-7695","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","P Ackroyd, D Aguilar, K Aitken, L Alcoff, C Allen, I Altman, M Alvesson, ...","Note: Page numbers in bold refer to the main chapters of the contributors.","MARXISM AND EDUCATION, 237, 0","",""
"1665548689-7696","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","F Adamson, L Alfredson, N Assefi, B Ayata, O Bakewell, P Banerjee, ...","JRS REVIEWERS","Journal of Refugee Studies 24 (4), 0","",""
"1665548689-7697","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen, RJB Jones","DC, USA","","",""
"1665548689-7698","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen, Z Layton-Henry","Migration, Diasporas and Citizenship","","",""
"1665548689-7699","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","P CRITTENDEN, K FRISTON, P MCGORRY, R MURRAY, J PARNAS, ...","Scheduled to appear in forthcoming issues of “World Psychiatry”","","",""
"1665548689-7700","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","MPA Barbara Bloom, PF Adams, RA Cohen, C Simile","Smoking and Oral Health in Dentate Adults aged 18–64","","",""
"1665548689-7701","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","RM Gindi, LI Black, RA Cohen","National Health Statistics Reports","","",""
"1665548689-7702","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","RA Cohen, MPA Barbara Bloom","Trends in Health Insurance and Access to Medical Care for Children Under Age 19 Years: United States","","",""
"1665548689-7703","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","RA Cohen","Do adults aged 65 years and above have better access to health care?","Annual Meeting, 0","",""
"1665548689-7704","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R COHEN","CITIZENS, DENIZENS AND HELOTS: THE POLITICS OF","","",""
"1665548689-7705","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen","Stttttttttttttt 000S0S00 October 1991","","",""
"1665548689-7706","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","GA Simpson, RA Cohen, P Pastor, CA Reuben","US children with ADHD: Their use of medication and mental health services, data from the National Health Interview Survey","Annual Meeting, 0","",""
"1665548689-7707","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","B Magubane, A Seidman, I Wallerstein, C Achebe, C Allen, A Cohen, ...","Claude Ake, University of Port Harcourt, Nigeria","","",""
"1665548689-7708","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen, O Sheringham","The salience of islands in the articulation of creolization and diaspora: an intervention","","",""
"1665548689-7709","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen, PCW Gutkind, P Brazier, AH DeRosier Jr, H Dietz, R Moore, ...","AND THEIR ORIGIN TOGETHER WITH A TREATISE ON INCA LEGENDS","","",""
"1665548689-7710","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","N Van Hear, R Cohen","Centre on Migration, Policy and Society","","",""
"1665548689-7711","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","H Suganami, B Appleyard, S Times, R Cohen, RJB Jones","International relations and organizations","","",""
"1665548689-7712","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","S Vertovec, A Rogers, R Cohen","Global networks: a journal of transnational affairs","Blackwell, 0","",""
"1665548689-7713","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","A Adepoju, J Arango, I Awad, R Bauböck, S Benhabib, A Bloch, ...","Global Editorial Board","","",""
"1665548689-7714","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","AM Williams, S Dykeman, V Crooks, K Stajduhar, R Cohen, M Giesbrecht","KNOWLEDGE TRANSLATION OF CANADA’S COMPASSIONATE CARE BENEFIT WITH SOCIAL WORKERS","","",""
"1665548689-7715","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen","Legal Notice. Not to be copied. Please do not quote from this material until publication of the book in which it appears.","","",""
"1665548689-7716","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen","AFRICAN WORKING CUSS","","",""
"1665548689-7717","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R Cohen","Swallowing up or vomiting out: some research questions on social inclusion/exclusion","","",""
"1665548689-7718","https://scholar.google.com/citations?user=7OnAKPIAAAAJ&hl=en&oi=ao","R COHEN, R WESTBROOK","International Relations Theory","","",""
"1665548700-7719","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos, L Rodrigues","Effective detection of multimedia protocol tunneling using machine learning","27th USENIX Security Symposium (USENIX Security 18), 169-185, 2018","46","2018"
"1665548700-7720","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos, LET Rodrigues","DeltaShaper: Enabling Unobservable Censorship-resistant TCP Tunneling over Videoconferencing Streams.","Proc. Priv. Enhancing Technol. 2017 (4), 5-22, 2017","31","2017"
"1665548700-7721","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos, L Rodrigues, S Signorello, FMV Ramos, A Madeira","FlowLens: Enabling Efficient Flow Classification for ML-based Network Security Applications","Proceedings of the 27th Network and Distributed System Security Symposium, 2021","20","2021"
"1665548700-7722","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos, L Rodrigues, V Nunes","Poking a hole in the wall: Efficient censorship-resistant Internet communications by parasitizing on WebRTC","Proceedings of the 2020 ACM SIGSAC Conference on Computer and Communications …, 2020","14","2020"
"1665548700-7723","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","R Rambert, Z Weinberg, D Barradas, N Christin","Chinese Wall or Swiss Cheese? Keyword filtering in the Great Firewall of China","Proceedings of the Web Conference 2021, 472-483, 2021","12","2021"
"1665548700-7724","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos","Towards a scalable censorship-resistant overlay network based on webrtc covert channels","Proceedings of the 1st International Workshop on Distributed Infrastructure …, 2020","6","2020"
"1665548700-7725","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, T Brito, D Duarte, N Santos, L Rodrigues","Forensic analysis of communication records of messaging applications from physical memory","Computers & Security 86, 484-497, 2019","5","2019"
"1665548700-7726","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","DMB Barradas","Unobservable covert streaming for internet censorship circumvention","Master’s thesis, Universidade de Lisboa, 2016","1","2016"
"1665548700-7727","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos, L Rodrigues","Sıntese de Vıdeo para Evasao de Censura na Internet","Actas do Oitavo Simpósio de Informática, INForum 16, 2016","1","2016"
"1665548700-7728","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","A Veicht, C Renggli, D Barradas","DeepSE-WF: Unified Security Estimation for Website Fingerprinting Defenses","arXiv preprint arXiv:2203.04428, 2022","","2022"
"1665548700-7729","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","G Figueira, D Barradas, N Santos","Stegozoa: Enhancing WebRTC Covert Channels with Video Steganography for Internet Censorship Circumvention","Proceedings of the 2022 ACM Asia Conference on Computer and Communications …, 2022","","2022"
"1665548700-7730","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, N Santos, L Rodrigues, S Signorello, FMV Ramos, A Madeira","The Nuts and Bolts of Building FlowLens","Learning from Authoritative Security Experiment Results (LASER) 2021, 2021","","2021"
"1665548700-7731","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","DMB Barradas","Unobservable Multimedia-based Covert Channels for Internet Censorship Circumvention","Ph.D. Thesis, INSTITUTO SUPERIOR TECNICO, 2021","","2021"
"1665548700-7732","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas, T Brito, D Duarte, N Santos, L Rodrigues","Forensic Analysis of Communication Records of Web-based Messaging Applications from Physical Memory","Proceedings of the 14th International Conference on Security and …, 2017","","2017"
"1665548700-7733","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","A Madeira, D Barradas, N Santos, L Rodrigues","Identificaçao de Canais Encobertos no Skype usando Esboços em SDNs","","",""
"1665548700-7734","https://scholar.google.com/citations?user=hJcIUzkAAAAJ&hl=en&oi=ao","D Barradas","Assessing the Feasibility of Machine Learning to Detect Network Covert Channels","","",""
"1665548715-7735","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","SL Pfleeger, JM Atlee","Software engineering: theory and practice","Pearson Education India, 1998","2499","1998"
"1665548715-7736","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","BHC Cheng, JM Atlee","Research directions in requirements engineering","Future of Software Engineering (FOSE'07), 285-303, 2007","935","2007"
"1665548715-7737","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","T Berger, R Rublack, D Nair, JM Atlee, M Becker, K Czarnecki, ...","A survey of variability modeling in industrial practice","Proceedings of the seventh international workshop on variability modelling …, 2013","451","2013"
"1665548715-7738","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, J Gannon","State-based model checking of event-driven system requirements","IEEE Transactions on Software Engineering 19 (1), 24-40, 1993","318","1993"
"1665548715-7739","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","GY Guo, JM Atlee, R Kazman","A software architecture reconstruction method","Working Conference on Software Architecture, 15-33, 1999","144","1999"
"1665548715-7740","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Purtilo, JM Atlee","Module reuse by interface adaptation","Software: Practice and Experience 21 (6), 539-556, 1991","128","1991"
"1665548715-7741","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JD Hay, JM Atlee","Composing features and resolving interactions","Proceedings of the 8th ACM SIGSOFT international symposium on Foundations of …, 2000","95","2000"
"1665548715-7742","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","T Sreemani, JM Atlee","Feasibility of model checking software requirements: A case study","Proceedings of 11th Annual Conference on Computer Assurance. COMPASS'96, 77-88, 1996","86","1996"
"1665548715-7743","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","BHC Cheng, JM Atlee","Current and future research directions in requirements engineering","Design requirements engineering: A ten-year perspective, 11-43, 2009","82","2009"
"1665548715-7744","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","KH Braithwaite, JM Atlee","Towards automated detection of feature interactions.","FIW, 36-59, 1994","70","1994"
"1665548715-7745","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","T Berger, D Nair, R Rublack, JM Atlee, K Czarnecki, A Wąsowski","Three cases of feature-based variability modeling in industry","International Conference on Model Driven Engineering Languages and Systems …, 2014","69","2014"
"1665548715-7746","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","P Shaker, JM Atlee, S Wang","A feature-oriented requirements modelling language","2012 20th IEEE International Requirements Engineering Conference (RE), 151-160, 2012","66","2012"
"1665548715-7747","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Niu, JM Atlee, NA Day","Template semantics for model-based notations","IEEE Transactions on Software Engineering 29 (10), 866-882, 2003","66","2003"
"1665548715-7748","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, MA Buckley","A logic-model semantics for SCR software requirements","ACM SIGSOFT Software Engineering Notes 21 (3), 280-292, 1996","66","1996"
"1665548715-7749","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Guo, E Zulkoski, R Olaechea, D Rayside, K Czarnecki, S Apel, JM Atlee","Scaling exact multi-objective combinatorial optimization by parallelization","Proceedings of the 29th ACM/IEEE international conference on Automated …, 2014","50","2014"
"1665548715-7750","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","PK Au, JM Atlee","Evaluation of a State-Based Model of Feature Interactions.","FIW, 153-167, 1997","47","1997"
"1665548715-7751","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Apel, JM Atlee, L Baresi, P Zave","Feature interactions: the next generation (dagstuhl seminar 14281)","Dagstuhl Reports 4 (7), 2014","43","2014"
"1665548715-7752","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Esmaeilsabzali, NA Day, JM Atlee, J Niu","Deconstructing the semantics of big-step modelling languages","Requirements Engineering 15 (2), 235-265, 2010","43","2010"
"1665548715-7753","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Atlee, J Gannon","State-based model checking of event-driven system requirements","ACM SIGSOFT Software Engineering Notes 16 (5), 16-28, 1991","43","1991"
"1665548715-7754","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","A Taleghani, JM Atlee","Semantic variations among UML statemachines","International Conference on Model Driven Engineering Languages and Systems …, 2006","39","2006"
"1665548715-7755","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","KP Pomakis, JM Atlee","Reachability analysis of feature interactions: A progress report","Proceedings of the 1996 ACM SIGSOFT international symposium on Software …, 1996","38","1996"
"1665548715-7756","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Ben-David, B Sterin, JM Atlee, S Beidu","Symbolic model checking of product-line requirements using sat-based methods","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering 1 …, 2015","28","2015"
"1665548715-7757","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, U Fahrenberg, A Legay","Measuring behaviour interactions between product-line features","2015 IEEE/ACM 3rd FME Workshop on Formal Methods in Software Engineering, 20-25, 2015","26","2015"
"1665548715-7758","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","C Bocovich, JM Atlee","Variable-specific resolutions for feature interactions","Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations …, 2014","26","2014"
"1665548715-7759","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee","Automated analysis of software requirements.","","26","1994"
"1665548715-7760","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","Y Lu, JM Atlee, NA Day, J Niu","Mapping template semantics to SMV","Proceedings. 19th International Conference on Automated Software Engineering …, 2004","23","2004"
"1665548715-7761","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","P Pourali, JM Atlee","An empirical investigation to understand the difficulties and challenges of software modellers when using modelling tools","Proceedings of the 21th ACM/IEEE International Conference on Model Driven …, 2018","22","2018"
"1665548715-7762","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","A Prout, JM Atlee, NA Day, P Shaker","Semantically configurable code generation","International Conference on Model Driven Engineering Languages and Systems …, 2008","20","2008"
"1665548715-7763","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","R Olaechea, U Fahrenberg, JM Atlee, A Legay","Long-term average cost in featured transition systems","Proceedings of the 20th International Systems and Software Product Line …, 2016","17","2016"
"1665548715-7764","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, S Beidu, NA Day, F Faghih, P Shaker","Recommendations for improving the usability of formal methods for product lines","2013 1st FME Workshop on Formal Methods in Software Engineering (FormaliSE …, 2013","17","2013"
"1665548715-7765","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, RJ LeBlanc Jr, TC Lethbridge, A Sobel, JB Thompson","Software engineering 2004: ACM/IEEE-CS guidelines for undergraduate programs in software engineering","Proceedings of the 27th international conference on Software engineering …, 2005","17","2005"
"1665548715-7766","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","BJ Muscedere, R Hackman, D Anbarnam, JM Atlee, IJ Davis, MW Godfrey","Detecting feature-interaction symptoms in automotive software using lightweight analysis","2019 IEEE 26th International Conference on Software Analysis, Evolution and …, 2019","15","2019"
"1665548715-7767","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, R France, G Georg, A Moreira, B Rumpe, S Zschaler","Modeling in software engineering","29th International Conference on Software Engineering (ICSE'07 Companion …, 2007","15","2007"
"1665548715-7768","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Niu, JM Atlee, NA Day","Understanding and comparing model-based specification notations","Proceedings. 11th IEEE International Requirements Engineering Conference …, 2003","15","2003"
"1665548715-7769","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, RJ LeBlanc, TC Lethbridge, A Sobel, JB Thompson","Reflections on Software Engineering 2004, the ACM/IEEE-CS Guidelines for Undergraduate Programs in Software Engineering","International Conference on Software Engineering, 11-27, 2005","14","2005"
"1665548715-7770","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","Y Jia, JM Atlee","Run-time Management for Feature Interaction","University of Waterloo, 2003","14","2003"
"1665548715-7771","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","CR Hofmeister, J Atlee, JM Purtilo","Writing distributed programs in Polylith","","14","1998"
"1665548715-7772","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","R Olaechea, J Atlee, A Legay, U Fahrenberg","Trace checking for dynamic software product lines","Proceedings of the 13th International Conference on Software Engineering for …, 2018","13","2018"
"1665548715-7773","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","A Prout, JM Atlee, NA Day, P Shaker","Code generation for a family of executable modelling notations","Software & Systems Modeling 11 (2), 251-272, 2012","13","2012"
"1665548715-7774","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, J Gannon","Analyzing timing requirements","Proceedings of the 1993 ACM SIGSOFT international symposium on Software …, 1993","12","1993"
"1665548715-7775","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","D Dietrich, JM Atlee","A mode-based pattern for feature requirements, and a generic feature interface","2013 21st IEEE International Requirements Engineering Conference (RE), 82-91, 2013","11","2013"
"1665548715-7776","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","A Taleghani, JM Atlee","State-space coverage estimation","2009 IEEE/ACM International Conference on Automated Software Engineering …, 2009","11","2009"
"1665548715-7777","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","MH Zibaeenejad, C Zhang, JM Atlee","Continuous variable-specific resolutions of feature interactions","Proceedings of the 2017 11th Joint Meeting on Foundations of Software …, 2017","10","2017"
"1665548715-7778","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Siddiqi, JM Atlee","A hybrid model for specifying features and detecting interactions","Computer Networks 32 (4), 471-485, 2000","10","2000"
"1665548715-7779","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","PA Zimmer, JM Atlee","Ordering features by category","Journal of Systems and Software 85 (8), 1782-1800, 2012","9","2012"
"1665548715-7780","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Niu, JM Atlee, NA Day","Composable semantics for model-based notations","Proceedings of the 10th ACM SIGSOFT symposium on Foundations of software …, 2002","9","2002"
"1665548715-7781","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, S Beidu, U Fahrenberg, A Legay","Merging features in featured transition systems","CEUR, 2015","8","2015"
"1665548715-7782","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","A Taleghani, JM Atlee","Search-carrying code","Proceedings of the IEEE/ACM international conference on Automated software …, 2010","8","2010"
"1665548715-7783","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Purtilo, JM Atlee","Improving module reuse by interface adaptation","Proceedings. 1990 International Conference on Computer Languages, 208,209 …, 1990","8","1990"
"1665548715-7784","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Beidu, JM Atlee, P Shaker","Incremental and commutative composition of state-machine models of features","2015 IEEE/ACM 7th International Workshop on Modeling in Software Engineering …, 2015","7","2015"
"1665548715-7785","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Esmaeilsabzali, NA Day, JM Atlee, J Niu","Big-step semantics","Technical Report CS-2009-05, University of Waterloo, Cheriton School of …, 2009","7","2009"
"1665548715-7786","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Atlee, M Chechik, J Gannon","Using Model Checking to Analyze Requirements and Designs","Advances in Computers 43, 141-178, 1996","7","1996"
"1665548715-7787","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","D Dietrich, P Shaker, JM Atlee, D Rayside, J Gorzny","Feature interaction analysis of the feature-oriented requirements-modelling language using Alloy","Proceedings of the Workshop on Model-Driven Engineering, Verification and …, 2012","6","2012"
"1665548715-7788","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","C Falkenberg, C Hofmeister, C Chen, E White, J Atlee, P Hagger, J Purtilo","The Polylith Interconnection System: Programming Manual for the Network Bus","University of Maryland, College Park 3, 0","6",""
"1665548715-7789","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","P Pourali, JM Atlee","A focus+ context approach to alleviate cognitive challenges of editing and debugging uml models","2019 ACM/IEEE 22nd International Conference on Model Driven Engineering …, 2019","5","2019"
"1665548715-7790","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","P Shaker, JM Atlee","Behaviour interactions among product-line features","Proceedings of the 18th International Software Product Line Conference …, 2014","5","2014"
"1665548715-7791","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","SL Pfleeger, JM Atlee","Capturing the requirements","Software Engineering: theory and practice, 2009","5","2009"
"1665548715-7792","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","J Atlee, R Wieringa","RE 05: Engineering successful products","IEEE software 23 (3), 16-18, 2006","5","2006"
"1665548715-7793","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","PA Zimmer, JM Atlee","Categorizing and Prioritizing Telephony Features.","FIW, 327-333, 2005","5","2005"
"1665548715-7794","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","Y Lu, JM Atlee, NA Day, J Niu","Model checking template-semantics specifications","Technical Report: CS-2004–20, 2004","5","2004"
"1665548715-7795","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","P Pourali, JM Atlee","An experimental investigation on understanding the difficulties and challenges of software modellers when using modelling tools","Technical Report CS-2018–03. David R. Cheriton School of Computer Science, 2018","4","2018"
"1665548715-7796","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","D Dietrich, JM Atlee","A pattern for structuring the behavioural requirements of features of an embedded system","2013 3rd International Workshop on Requirements Patterns (RePa), 1-7, 2013","4","2013"
"1665548715-7797","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","B Lafreniere, A Bunt, M Lount, M Terry, D Cowan","Looks cool, I’ll try this later!”: Understanding the faces and uses of online tutorials","University of Waterloo Tech Report, 2012","4","2012"
"1665548715-7798","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Esmaeilsabzali, NA Day, JM Atlee, J Niu","Semantic criteria for choosing a language for big-step models","2009 17th IEEE International Requirements Engineering Conference, 181-190, 2009","4","2009"
"1665548715-7799","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, NA Day, J Niu, E Kang, Y Lu, D Fung, L Wong","Metro: An analysis toolkit for template semantics","Technical Report CS-2006-34, David R. Cheriton School of Computer Science …, 2006","4","2006"
"1665548715-7800","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","JM Atlee, PP Dasiewicz, R Kazman, RE Seviora, A Singh","A joint CS/E&CE undergraduate option in software engineering","Proceedings of 9th Conference on Software Engineering Education, 16-28, 1996","4","1996"
"1665548715-7801","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","R Shahin, R Hackman, R Toledo, S Ramesh, JM Atlee, M Chechik","Applying Declarative Analysis to Software Product Line Models: An Industrial Study","2021 ACM/IEEE 24th International Conference on Model Driven Engineering …, 2021","3","2021"
"1665548715-7802","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","S Esmaeilsabzali, B Fischer, JM Atlee","Monitoring aspects for the customization of automatically generated code for big-step models","ACM SIGPLAN Notices 47 (3), 117-126, 2011","3","2011"
"1665548715-7803","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","University of Waterloo. Dept. of Computer Science, ...","Towards automated detection of feature interactions","University of Waterloo, Computer Science Department, 1994","3","1994"
"1665548715-7804","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","R Hackman, JM Atlee, AF Hackett, MW Godfrey","mel- model extractor language for extracting facts from models","Proceedings of the 23rd ACM/IEEE International Conference on Model Driven …, 2020","2","2020"
"1665548715-7805","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","P Pourali, JM Atlee","UCAnDoModels: A context-based model editor for editing and debugging UML class and state-machine diagrams","2019 ACM/IEEE 22nd International Conference on Model Driven Engineering …, 2019","2","2019"
"1665548715-7806","https://scholar.google.com/citations?user=GgdeFwoAAAAJ&hl=en&oi=ao","Z Luo, JM Atlee","BSML-mbeddr: integrating semantically configurable state-machine models in a C programming environment","Proceedings of the 2016 ACM SIGPLAN International Conference on Software …, 2016","2","2016"
